,gps_ref,name,distance,rating,total_ratings,categories,lattitude,longitude,address
0,"53.35023,-6.279696",The Cobblestone,131,8.4,224.0,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",53.349822,-6.278063,"77 North King St, Dublin, Dublin City"
1,"53.35023,-6.279696",Thundercut Alley,137,8.3,31.0,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13347, 'name': 'Tapas Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}}]",53.348975,-6.278991,"Thundercut Alley, Dublin, Dublin 7, Dublin"
2,"53.35023,-6.279696",Walsh's Pub,139,7.7,32.0,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",53.3506,-6.281708,"6 Stoneybatter, Dublin, Dublin City"
3,"53.35023,-6.279696",Light House Cinema,177,9.0,393.0,"[{'id': 10026, 'name': 'Indie Movie Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}]",53.34883,-6.278778,"Market Square, Dublin, Dublin City"
4,"53.35023,-6.279696",Lidl,94,6.8,3.0,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",53.350891,-6.278908,"Brunswick Street North (Grangegorman Street), Dublin, Dublin City"
5,"53.35023,-6.279696",V-Face,37,,,"[{'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",53.350555,-6.279849,North Brunswick St (Stoneybatter)
6,"53.35023,-6.279696",L. Mulligan Grocer,188,8.7,303.0,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",53.350892,-6.282134,"18 Stoneybatter, Dublin, Dublin City"
7,"53.35023,-6.279696",My Meat Wagon,180,8.2,114.0,"[{'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",53.348847,-6.278576,"Smithfield Market Square, Dublin, Dublin City"
8,"53.35023,-6.279696",Lavanda Restaurant,49,,,"[{'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13310, 'name': 'Modern European Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",53.350701,-6.279917,"31 North Brunswick St, Dublin"
9,"53.35023,-6.279696",Graze @ the elbow room,56,,,"[{'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",53.350693,-6.280019,
10,"53.35023,-6.279696",Namaste India,86,6.1,16.0,"[{'id': 13199, 'name': 'Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}}]",53.349554,-6.279266,"88 King Street North, Dublin, Dublin City"
11,"53.35023,-6.279696",Damn Fine Print,60,,,"[{'id': 10004, 'name': 'Art Gallery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/artgallery_', 'suffix': '.png'}}]",53.350632,-6.28228,"Unit 1, 32 North Brunswick Street, Stoneybatter, Dublin 7, Dublin, D7, Dublin, Dublin City"
12,"53.35023,-6.279696",Bel Cibo Smithfield,197,8.2,106.0,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",53.348397,-6.278716,"Smithfield Market Square, Dublin, Dublin City"
13,"53.35023,-6.279696",Centra,148,6.9,10.0,"[{'id': 17029, 'name': 'Convenience Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_', 'suffix': '.png'}}]",53.350649,-6.281779,"8-11 Stoneybatter, Dublin, Dublin City"
14,"53.35023,-6.279696",Fresh,146,6.8,79.0,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",53.349183,-6.278496,"Smithfield Village, Dublin, Dublin City"
