,gps_ref,FSQ_pub_count,FSQ_avg_pub_rating,FSQ_cafe_count,FSQ_avg_cafe_rating
0,"53.337757,-6.267699",14,7.785714285714286,5,8.08
1,"53.354929,-6.269425",14,7.92,8,8.325
2,"53.345922,-6.254614",14,7.971428571428571,5,7.859999999999999
3,"53.336021,-6.26298",14,7.671428571428571,6,7.933333333333334
4,"53.339334,-6.264699",14,8.178571428571429,7,8.014285714285714
5,"53.343565,-6.275071",13,7.754545454545454,8,8.2
6,"53.346874,-6.272976",13,8.23076923076923,8,8.35
7,"53.337494,-6.26199",12,7.974999999999999,7,7.985714285714286
8,"53.350291,-6.273507",12,8.05,7,8.028571428571428
9,"53.347508,-6.252192",11,8.336363636363636,8,7.957142857142857
10,"53.340927,-6.262501",11,8.254545454545454,5,8.379999999999999
11,"53.343368,-6.27012",11,8.327272727272726,8,8.5125
12,"53.348279,-6.254662",11,8.209090909090909,8,7.9625
13,"53.344603,-6.263371",11,8.527272727272727,4,8.525
14,"53.340803,-6.267732",11,8.218181818181819,8,8.2875
15,"53.3488,-6.281637",10,7.8999999999999995,7,7.8428571428571425
16,"53.338755,-6.262003",10,8.26,7,8.514285714285714
17,"53.342296,-6.287661",10,7.74,6,7.8
18,"53.3547,-6.272314",10,8.025,4,8.45
19,"53.356769,-6.26814",9,8.05,9,8.366666666666667
20,"53.343105,-6.277167",9,7.6375,5,7.775
21,"53.337132,-6.26059",9,8.11111111111111,6,8.116666666666667
22,"53.344007,-6.266802",9,8.422222222222222,7,8.485714285714286
23,"53.343456,-6.287409",9,7.74,7,7.8
24,"53.343893,-6.280531",9,7.6571428571428575,7,8.18
25,"53.353331,-6.249319",9,7.75,5,7.449999999999999
26,"53.341359,-6.292951",9,7.933333333333334,5,7.449999999999999
27,"53.346057,-6.268001",9,8.355555555555556,9,8.477777777777778
28,"53.3537415547453,-6.26530144781526",9,7.987500000000001,6,7.95
29,"53.349562,-6.278198",9,8.057142857142857,9,7.8
30,"53.356307,-6.273717",9,7.85,5,
31,"53.339764,-6.251988",8,7.6125,5,7.58
32,"53.347972,-6.291804",8,6.966666666666666,2,6.9
33,"53.349013,-6.260311",8,8.0125,6,8.15
34,"53.351182,-6.269859",8,8.257142857142856,2,8.25
35,"53.347802,-6.292432",8,6.966666666666666,4,6.9
36,"53.35023,-6.279696",8,7.916666666666667,5,7.8
37,"53.347692,-6.278214",8,7.857142857142857,10,7.7375
38,"53.33796,-6.24153",8,7.3625,6,6.8
39,"53.334123,-6.265436",8,7.7125,10,7.83
40,"53.347477,-6.28525",8,7.8875,9,8.016666666666667
41,"53.351464,-6.255265",8,7.914285714285714,6,8.15
42,"53.342113,-6.310015",7,7.25,3,8.35
43,"53.343034,-6.263578",7,8.371428571428572,5,8.58
44,"53.344304,-6.250427",7,7.44,5,6.675
45,"53.340714,-6.308191",7,7.25,3,8.5
46,"53.356299,-6.258586",7,7.883333333333333,7,8.32
47,"53.354663,-6.278681",7,7.6499999999999995,3,8.5
48,"53.352149,-6.260533",7,7.785714285714286,3,7.733333333333333
49,"53.347106,-6.292041",7,6.966666666666666,2,6.9
50,"53.334295,-6.258503",7,7.633333333333333,8,7.8374999999999995
51,"53.330362,-6.265163",7,7.557142857142857,10,7.8999999999999995
52,"53.359246,-6.269779",7,7.733333333333333,9,8.3
53,"53.346867,-6.230852",7,7.233333333333333,1,
54,"53.339218,-6.240642",7,7.340000000000001,8,7.416666666666667
55,"53.339434,-6.246548",6,8.0,7,7.0
56,"53.338776,-6.30395",6,7.266666666666667,1,
57,"53.337824,-6.256035",6,7.583333333333333,5,8.1
58,"53.355954,-6.278378",6,7.85,2,7.5
59,"53.330091,-6.268044",6,7.459999999999999,8,8.214285714285714
60,"53.3483,-6.266651",6,8.233333333333333,7,8.242857142857144
61,"53.35561,-6.261397",6,7.9,8,7.866666666666667
62,"53.33403,-6.260714",6,7.68,10,7.890000000000001
63,"53.346026,-6.243576",6,7.4,7,7.24
64,"53.342638,-6.238695",6,6.8,4,7.275
65,"53.339629,-6.243778",6,7.55,8,7.128571428571428
66,"53.338614,-6.248606",6,8.0,6,7.44
67,"53.347777,-6.244239",6,7.5,5,7.033333333333334
68,"53.34218,-6.254485",6,7.75,5,7.640000000000001
69,"53.347932,-6.240928",6,6.5,3,7.166666666666667
70,"53.346637,-6.246154",6,7.233333333333334,7,7.279999999999999
71,"53.348875,-6.267459",6,8.466666666666667,7,8.314285714285715
72,"53.350929,-6.265125",6,8.15,3,7.733333333333333
73,"53.350974,-6.25294",5,7.825,4,7.575
74,"53.344115,-6.237153",5,5.6,5,7.275
75,"53.355473,-6.264423",5,8.133333333333333,8,7.9
76,"53.332763,-6.257942",5,8.05,9,7.762499999999999
77,"53.335742,-6.24551",5,7.4,3,6.949999999999999
78,"53.334432,-6.245575",5,7.4,2,6.949999999999999
79,"53.336597,-6.248109",5,7.9399999999999995,3,8.033333333333333
80,"53.359405,-6.276142",5,7.85,4,7.7
81,"53.336074,-6.252825",5,7.859999999999999,8,7.58
82,"53.347884,-6.248048",5,7.280000000000001,7,7.416666666666667
83,"53.346985,-6.297804",5,7.85,2,6.9
84,"53.356717,-6.256359",5,7.766666666666667,4,8.25
85,"53.341288,-6.258117",5,8.059999999999999,5,8.4
86,"53.341805,-6.305085",5,7.25,2,8.5
87,"53.341833,-6.231291",5,8.075,4,
88,"53.358115,-6.265601",5,7.5,9,8.366666666666667
89,"53.333653,-6.248345",5,7.720000000000001,3,7.900000000000001
90,"53.355173,-6.278424",4,7.1,2,7.5
91,"53.357841,-6.251557",4,7.8,2,
92,"53.330662,-6.260177",4,7.625,9,7.825
93,"53.332383,-6.252717",4,7.833333333333333,6,7.35
94,"53.341428,-6.24672",4,7.8,8,6.771428571428571
95,"53.346603,-6.296924",4,7.85,2,6.9
96,"53.34744,-6.238523",4,6.8,6,7.175
97,"53.357043,-6.263232",4,7.5,4,8.366666666666667
98,"53.335211,-6.2509",4,8.575,4,7.933333333333334
99,"53.35893,-6.280337",4,7.85,1,7.5
100,"53.345203,-6.247163",4,7.466666666666666,7,6.959999999999999
101,"53.354845,-6.247579",4,7.4,3,8.0
102,"53.339005,-6.300217",3,7.65,3,
103,"53.358437,-6.260641",3,7.65,1,8.7
104,"53.341515,-6.256853",3,8.200000000000001,4,8.575
105,"53.341645,-6.29719",3,,3,
106,"53.343653,-6.231755",3,7.9,5,8.15
107,"53.359624,-6.260348",2,7.8,1,
108,"53.359157,-6.281866",2,,1,7.5
109,"53.347122,-6.234749",2,7.4,3,7.2
110,"53.359967,-6.264828",2,7.5,2,8.3
111,"53.343897,-6.29706",1,,2,6.9
112,"53.344153,-6.233451",1,7.4,5,7.833333333333333
