,gps_ref,name,distance,rating,rating_count,categories,lattitude,longitude,address
0,"53.35023,-6.279696",Jameson Distillery Bow St,257.8416564503457,4.5,550,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'winetours', 'title': 'Wine Tours'}, {'alias': 'distilleries', 'title': 'Distilleries'}]",53.34838,-6.277354,"['Bow Street', 'Smithfield Village', 'Dublin 7', 'Republic of Ireland']"
1,"53.35023,-6.279696",L Mulligan Grocer,240.86286215051518,4.5,199,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'irish', 'title': 'Irish'}]",53.3514,-6.28275,"['18 Stoneybatter', 'Dublin 7', 'Republic of Ireland']"
2,"53.35023,-6.279696",The Cobblestone,119.86612905708107,4.5,113,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",53.3498,-6.27804,"['77 North King Street', 'Smithfield, 7', 'Republic of Ireland']"
3,"53.35023,-6.279696",Third Space,282.2062223943666,4.5,132,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",53.3477537995085,-6.27876389444709,"['14 Smithfield Market', 'Dublin 7', 'Republic of Ireland']"
4,"53.35023,-6.279696",My Meat Wagon,185.28989172376362,4.0,111,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",53.348751,-6.27841,"['Market Square', 'Smithfield, 7', 'Republic of Ireland']"
5,"53.35023,-6.279696",Wuff,358.1269375986192,4.5,109,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bistros', 'title': 'Bistros'}]",53.347458969584,-6.282445791346,"['23 Benburb Street', 'Smithfield, 7', 'Republic of Ireland']"
6,"53.35023,-6.279696",Urbanity,381.3309096050162,4.5,47,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",53.3468182892839,-6.27911332994699,"['The Glass House', '11 Coke Lane', 'Smithfield', 'Dublin 7', 'Republic of Ireland']"
7,"53.35023,-6.279696",Phx Bistro,399.10054817645323,4.5,50,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",53.3468068,-6.2815034,"['12 Ellis Quay', 'Dublin 7', 'Republic of Ireland']"
8,"53.35023,-6.279696",Generator Dublin,245.54152411713105,4.0,75,"[{'alias': 'hostels', 'title': 'Hostels'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",53.3483150323795,-6.27785394592327,"['Smithfield Square', 'Dublin 7', 'Republic of Ireland']"
9,"53.35023,-6.279696",Fish Shop,362.8009464240558,5.0,24,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",53.34724,-6.28201,"['76 Benburb Street', 'Smithfield, 7', 'Republic of Ireland']"
