,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,total_slots,gps_ref
0,25,15,6141f2e7bed7b74a62c90855c3b95987,53.35023,-6.279696,GEORGES LANE,2022-12-03T06:17:36.422000Z,40,"53.35023,-6.279696"
1,13,17,e61ec9728297f73d6779e35ee766c892,53.357841,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S),2022-12-03T06:17:36.383000Z,30,"53.357841,-6.251557"
2,21,19,9a3222d1d49bec4b46fe2fc24720ac56,53.356307,-6.273717,PHIBSBOROUGH ROAD,2022-12-03T06:17:36.423000Z,40,"53.356307,-6.273717"
3,25,5,aa9dd743c0057f1898341bab187b68fc,53.349562,-6.278198,SMITHFIELD NORTH,2022-12-03T06:17:36.369000Z,30,"53.349562,-6.278198"
4,27,6,13b5177c9d64d6cb8072f680addbf274,53.336021,-6.26298,CLONMEL STREET,2022-12-03T06:17:36.371000Z,33,"53.336021,-6.26298"
5,24,11,4592d38c6267eee141a2ab5feb049765,53.359405,-6.276142,AVONDALE ROAD,2022-12-03T06:17:36.372000Z,35,"53.359405,-6.276142"
6,32,8,577db83eb19140b4f4a821bb93118e59,53.33796,-6.24153,MOUNT STREET LOWER,2022-12-03T06:17:36.373000Z,40,"53.33796,-6.24153"
7,7,13,8cd8770c3500b58e05c65dca076a00ac,53.343368,-6.27012,CHRISTCHURCH PLACE,2022-12-03T06:17:36.374000Z,20,"53.343368,-6.27012"
8,8,22,95b25abb14351ba18840c307f9af37cc,53.334123,-6.265436,GRANTHAM STREET,2022-12-03T06:17:36.375000Z,30,"53.334123,-6.265436"
9,22,8,1d00b2d8a2c6e87fe5bce251bf05f2f8,53.344304,-6.250427,PEARSE STREET,2022-12-03T06:17:36.376000Z,30,"53.344304,-6.250427"
10,23,9,0c34fb0af6d2b20fe458d5fef1150854,53.338755,-6.262003,YORK STREET EAST,2022-12-03T06:17:36.376000Z,32,"53.338755,-6.262003"
11,37,3,23b52025656abda6ce66359eced63f7f,53.347777,-6.244239,EXCISE WALK,2022-12-03T06:17:36.377000Z,40,"53.347777,-6.244239"
12,18,12,03a129962208387e736a8305ff928dfe,53.336074,-6.252825,FITZWILLIAM SQUARE WEST,2022-12-03T06:17:36.378000Z,30,"53.336074,-6.252825"
13,18,12,e24d1c306b1d65ad507083c305c709dc,53.330091,-6.268044,PORTOBELLO ROAD,2022-12-03T06:17:36.378000Z,30,"53.330091,-6.268044"
14,0,20,45918c3c3aefd7503768a69654b2673a,53.350929,-6.265125,PARNELL STREET,2022-12-03T06:17:36.379000Z,20,"53.350929,-6.265125"
15,13,27,7a78649dff82a724a790100242faf612,53.341515,-6.256853,FREDERICK STREET SOUTH,2022-12-03T06:17:36.380000Z,40,"53.341515,-6.256853"
16,3,27,c0eb1d097e6980bb8b91c2aee34d28c1,53.348279,-6.254662,CUSTOM HOUSE,2022-12-03T06:17:36.382000Z,30,"53.348279,-6.254662"
17,25,15,9befbe579535b21b26fe97729b9aaa3a,53.35893,-6.280337,RATHDOWN ROAD,2022-12-03T06:17:36.382000Z,40,"53.35893,-6.280337"
18,37,3,f9bffc0c780d185d007102b425dfc7e1,53.344115,-6.237153,HANOVER QUAY,2022-12-03T06:17:36.384000Z,40,"53.344115,-6.237153"
